val_loss,epoch,step,train_loss_epoch,train_loss_step
17.333663940429688,0,4,,
,0,4,22.87542152404785,
7.783970355987549,1,9,,
,1,9,12.519401550292969,
5.599194526672363,2,14,,
,2,14,6.457602024078369,
4.554547309875488,3,19,,
,3,19,5.164105415344238,
4.138839244842529,4,24,,
,4,24,4.248873233795166,
4.022491455078125,5,29,,
,5,29,4.024669170379639,
3.9745876789093018,6,34,,
,6,34,3.9376730918884277,
3.9163410663604736,7,39,,
,7,39,3.8693106174468994,
3.8985276222229004,8,44,,
,8,44,3.8727047443389893,
,9,49,,3.7574055194854736
4.032580852508545,9,49,,
,9,49,3.8205785751342773,
3.8914406299591064,10,54,,
,10,54,3.8578548431396484,
4.01610803604126,11,59,,
,11,59,3.8219504356384277,
3.928765058517456,12,64,,
,12,64,3.8585004806518555,
3.930509567260742,13,69,,
,13,69,3.8541417121887207,
3.93833589553833,14,74,,
,14,74,3.8104231357574463,
3.9007580280303955,15,79,,
,15,79,3.8284406661987305,
3.8971545696258545,16,84,,
,16,84,3.800853729248047,
3.8784306049346924,17,89,,
,17,89,3.795649290084839,
3.948357343673706,18,94,,
,18,94,3.824273109436035,
,19,99,,3.838495969772339
3.9505536556243896,19,99,,
,19,99,3.793020486831665,
3.9124045372009277,20,104,,
,20,104,3.792914390563965,
3.9050137996673584,21,109,,
,21,109,3.759486675262451,
3.9463090896606445,22,114,,
,22,114,3.8025155067443848,
4.067305088043213,23,119,,
,23,119,3.820915460586548,
4.002452850341797,24,124,,
,24,124,3.876366376876831,
4.007984161376953,25,129,,
,25,129,3.841642379760742,
4.176898002624512,26,134,,
,26,134,3.9040591716766357,
4.240228652954102,27,139,,
,27,139,3.945310115814209,
3.98362135887146,28,144,,
,28,144,3.9979665279388428,
,29,149,,3.9584712982177734
4.022953033447266,29,149,,
,29,149,3.875325918197632,
3.92663836479187,30,154,,
,30,154,3.818439245223999,
3.892211437225342,31,159,,
,31,159,3.840388774871826,
4.2469892501831055,32,164,,
,32,164,3.8543810844421387,
3.8534913063049316,33,169,,
,33,169,3.925243854522705,
3.8645551204681396,34,174,,
,34,174,3.820988178253174,
3.882016897201538,35,179,,
,35,179,3.8192968368530273,
3.85896372795105,36,184,,
,36,184,3.8220643997192383,
3.8591978549957275,37,189,,
,37,189,3.812570333480835,
3.855867862701416,38,194,,
,38,194,3.829197883605957,
,39,199,,3.7191460132598877
3.9881231784820557,39,199,,
,39,199,3.8117706775665283,
3.854459762573242,40,204,,
,40,204,3.8359158039093018,
3.8518426418304443,41,209,,
,41,209,3.844207286834717,
3.8520517349243164,42,214,,
,42,214,3.848036527633667,
3.852264642715454,43,219,,
,43,219,3.848029613494873,
3.8525145053863525,44,224,,
,44,224,3.847909688949585,
3.852757215499878,45,229,,
,45,229,3.8478169441223145,
3.8530099391937256,46,234,,
,46,234,3.8476994037628174,
3.853235960006714,47,239,,
,47,239,3.847611427307129,
3.85337495803833,48,244,,
,48,244,3.847458600997925,
,49,249,,3.8345839977264404
3.853638172149658,49,249,,
,49,249,3.847324848175049,
3.8538973331451416,50,254,,
,50,254,3.8471899032592773,
3.8541901111602783,51,259,,
,51,259,3.8470208644866943,
3.8544623851776123,52,264,,
,52,264,3.8468732833862305,
3.8546838760375977,53,269,,
,53,269,3.846672773361206,
3.8549630641937256,54,274,,
,54,274,3.8465163707733154,
3.855269193649292,55,279,,
,55,279,3.8463399410247803,
3.8555285930633545,56,284,,
,56,284,3.846186876296997,
3.855712413787842,57,289,,
,57,289,3.8460519313812256,
3.8558688163757324,58,294,,
,58,294,3.845944404602051,
,59,299,,3.838970899581909
3.8560287952423096,59,299,,
,59,299,3.845792293548584,
3.8563456535339355,60,304,,
,60,304,3.8456716537475586,
3.8566782474517822,61,309,,
,61,309,3.845508575439453,
