val_loss,epoch,step,train_loss_epoch,train_loss_step,test_loss
3.849924087524414,0,16,,,
,0,16,3.8497774600982666,,
3.8480048179626465,1,33,,,
,1,33,3.8371825218200684,,
,2,49,,3.826598644256592,
3.8437936305999756,2,50,,,
,2,50,3.8298418521881104,,
3.8237569332122803,3,67,,,
,3,67,3.8022243976593018,,
3.826274871826172,4,84,,,
,4,84,3.7869091033935547,,
,5,99,,3.745959997177124,
3.8224401473999023,5,101,,,
,5,101,3.7822697162628174,,
3.808446168899536,6,118,,,
,6,118,3.7748117446899414,,
3.9185004234313965,7,135,,,
,7,135,3.7850117683410645,,
,8,149,,3.8491244316101074,
3.812908172607422,8,152,,,
,8,152,3.788153648376465,,
3.958695650100708,9,169,,,
,9,169,3.76747465133667,,
3.8085551261901855,10,186,,,
,10,186,3.802858352661133,,
,11,199,,3.836937665939331,
4.07369327545166,11,203,,,
,11,203,3.773379325866699,,
4.0481343269348145,12,220,,,
,12,220,3.764427661895752,,
3.81136155128479,13,237,,,
,13,237,3.77601957321167,,
,14,249,,3.7922286987304688,
3.9033091068267822,14,254,,,
,14,254,3.7713985443115234,,
3.8071177005767822,15,271,,,
,15,271,3.76911997795105,,
3.8111815452575684,16,288,,,
,16,288,3.7788922786712646,,
,17,299,,3.7557997703552246,
3.8932154178619385,17,305,,,
,17,305,3.7606358528137207,,
3.856337070465088,18,322,,,
,18,322,3.7727670669555664,,
3.8322839736938477,19,339,,,
,19,339,3.7808847427368164,,
,20,349,,3.7604711055755615,
3.8515024185180664,20,356,,,
,20,356,3.761934757232666,,
3.802260398864746,21,373,,,
,21,373,3.767939805984497,,
3.8431146144866943,22,390,,,
,22,390,3.766326665878296,,
,23,399,,3.7643649578094482,
3.8302114009857178,23,407,,,
,23,407,3.765648126602173,,
3.8044285774230957,24,424,,,
,24,424,3.765716552734375,,
3.8000307083129883,25,441,,,
,25,441,3.7575268745422363,,
,26,449,,3.7683656215667725,
3.796674966812134,26,458,,,
,26,458,3.7558321952819824,,
3.8280835151672363,27,475,,,
,27,475,3.75870943069458,,
4.0824737548828125,28,492,,,
,28,492,3.762026309967041,,
,29,499,,3.7790088653564453,
3.7929389476776123,29,509,,,
,29,509,3.760758638381958,,
3.8768391609191895,30,526,,,
,30,526,3.7629196643829346,,
3.8054909706115723,31,543,,,
,31,543,3.7583699226379395,,
,32,549,,3.748429775238037,
3.8285956382751465,32,560,,,
,32,560,3.758260726928711,,
3.836909770965576,33,577,,,
,33,577,3.7558412551879883,,
3.9780824184417725,34,594,,,
,34,594,3.7643744945526123,,
,35,599,,3.7476534843444824,
3.8079280853271484,35,611,,,
,35,611,3.7595629692077637,,
3.827592611312866,36,628,,,
,36,628,3.757134437561035,,
3.793788194656372,37,645,,,
,37,645,3.7539989948272705,,
,38,649,,3.728677749633789,
3.806819438934326,38,662,,,
,38,662,3.7644593715667725,,
3.885671615600586,39,679,,,
,39,679,3.755300760269165,,
3.8018836975097656,40,696,,,
,40,696,3.771221399307251,,
,41,699,,3.719196081161499,
3.951829433441162,41,713,,,
,41,713,3.7722883224487305,,
3.9270241260528564,42,730,,,
,42,730,3.764662027359009,,
3.8206262588500977,43,747,,,
,43,747,3.756727933883667,,
,44,749,,3.7717020511627197,
3.793748378753662,44,764,,,
,44,764,3.760594606399536,,
3.798055410385132,45,781,,,
,45,781,3.760082483291626,,
3.823418378829956,46,798,,,
,46,798,3.7629525661468506,,
,47,799,,3.72765851020813,
3.8099992275238037,47,815,,,
,47,815,3.757868766784668,,
3.8436672687530518,48,832,,,
,48,832,3.7631216049194336,,
,49,849,,3.956472873687744,
3.8120856285095215,49,849,,,
,49,849,3.762397289276123,,
,50,850,,,3.8124420642852783
,50,850,,,3.8124420642852783
