val_loss,epoch,step,train_loss_epoch,train_loss_step
0.00901302695274353,0,16,,
,0,16,0.0205704215914011,
0.008376969024538994,1,33,,
,1,33,0.009166711941361427,
,2,49,,0.007190420292317867
0.007465346250683069,2,50,,
,2,50,0.007876388728618622,
0.006973764859139919,3,67,,
,3,67,0.007308098021894693,
0.006651792675256729,4,84,,
,4,84,0.006912887562066317,
,5,99,,0.006402548402547836
0.0062401206232607365,5,101,,
,5,101,0.006525170989334583,
0.005835331976413727,6,118,,
,6,118,0.006053282413631678,
0.005993982776999474,7,135,,
,7,135,0.005641106516122818,
,8,149,,0.005093270447105169
0.005903029814362526,8,152,,
,8,152,0.0056708818301558495,
0.005550183355808258,9,169,,
,9,169,0.005602100398391485,
0.005374658387154341,10,186,,
,10,186,0.00534098083153367,
,11,199,,0.005581125617027283
0.00514362333342433,11,203,,
,11,203,0.005200222134590149,
0.005246746353805065,12,220,,
,12,220,0.005170996766537428,
0.005033415742218494,13,237,,
,13,237,0.005101900082081556,
,14,249,,0.005298294126987457
0.005167704541236162,14,254,,
,14,254,0.005025388672947884,
0.004981918726116419,15,271,,
,15,271,0.005112988408654928,
0.00492239510640502,16,288,,
,16,288,0.004962628707289696,
,17,299,,0.004380649887025356
0.005003445316106081,17,305,,
,17,305,0.004926460795104504,
0.004854120314121246,18,322,,
,18,322,0.004897061735391617,
0.005188548471778631,19,339,,
,19,339,0.004914912860840559,
,20,349,,0.005434093996882439
0.0048793829046189785,20,356,,
,20,356,0.005007573403418064,
0.004817396402359009,21,373,,
,21,373,0.00484673073515296,
0.0046996865421533585,22,390,,
,22,390,0.004759054630994797,
,23,399,,0.004500512033700943
0.004677855875343084,23,407,,
,23,407,0.004769512452185154,
0.0046429745852947235,24,424,,
,24,424,0.004713709000498056,
0.004836880601942539,25,441,,
,25,441,0.004669511690735817,
,26,449,,0.004499340429902077
0.005630423314869404,26,458,,
,26,458,0.004666693974286318,
0.004709519911557436,27,475,,
,27,475,0.0048749870620667934,
0.004586718510836363,28,492,,
,28,492,0.004653911106288433,
,29,499,,0.004357359372079372
0.004724022466689348,29,509,,
,29,509,0.0044836439192295074,
0.004745048005133867,30,526,,
,30,526,0.004490903113037348,
0.004603204317390919,31,543,,
,31,543,0.004567515570670366,
,32,549,,0.004350645001977682
0.004555452149361372,32,560,,
,32,560,0.004494184628129005,
0.004249853547662497,33,577,,
,33,577,0.004426951520144939,
0.004316039849072695,34,594,,
,34,594,0.004333525896072388,
,35,599,,0.004401368089020252
0.004386566579341888,35,611,,
,35,611,0.004269223660230637,
0.004182926844805479,36,628,,
,36,628,0.004334520548582077,
0.004264291375875473,37,645,,
,37,645,0.004287662450224161,
,38,649,,0.004420146346092224
0.004115485120564699,38,662,,
,38,662,0.0042432453483343124,
0.004057964310050011,39,679,,
,39,679,0.004137923941016197,
0.004068666137754917,40,696,,
,40,696,0.004143599886447191,
,41,699,,0.0037735954392701387
0.004219757858663797,41,713,,
,41,713,0.004169771447777748,
0.0040794131346046925,42,730,,
,42,730,0.004142243415117264,
0.003934111911803484,43,747,,
,43,747,0.00403978955000639,
,44,749,,0.003468860639259219
0.004015415441244841,44,764,,
,44,764,0.003937535919249058,
0.004092991817742586,45,781,,
,45,781,0.00395682780072093,
0.003916759509593248,46,798,,
,46,798,0.004023781977593899,
,47,799,,0.004229944199323654
0.0038846489042043686,47,815,,
,47,815,0.003846840700134635,
0.0037751037161797285,48,832,,
,48,832,0.003846274223178625,
,49,849,,0.003934151027351618
0.003772840602323413,49,849,,
,49,849,0.003806161694228649,
0.003889957908540964,50,866,,
,50,866,0.0037882067263126373,
0.0040164911188185215,51,883,,
,51,883,0.00395499262958765,
,52,899,,0.0036983387544751167
0.003803814062848687,52,900,,
,52,900,0.0039151315577328205,
0.004071598872542381,53,917,,
,53,917,0.003910847008228302,
0.0037035811692476273,54,934,,
,54,934,0.003795089665800333,
,55,949,,0.003459311556071043
0.0040637352503836155,55,951,,
,55,951,0.003762577660381794,
0.003724549664184451,56,968,,
,56,968,0.003831370733678341,
0.003686722833663225,57,985,,
,57,985,0.0038158982060849667,
,58,999,,0.0038329283706843853
0.0036869505420327187,58,1002,,
,58,1002,0.003730656113475561,
0.0038124157581478357,59,1019,,
,59,1019,0.003816000884398818,
0.0037497079465538263,60,1036,,
,60,1036,0.003795298747718334,
,61,1049,,0.0038247276097536087
0.0037073264829814434,61,1053,,
,61,1053,0.0036922588478773832,
0.003634462598711252,62,1070,,
,62,1070,0.003708425909280777,
0.0037776539102196693,63,1087,,
,63,1087,0.0036931904032826424,
,64,1099,,0.0037639085203409195
0.0037460133899003267,64,1104,,
,64,1104,0.003729966003447771,
0.003718788968399167,65,1121,,
,65,1121,0.0036624695640057325,
0.003696341998875141,66,1138,,
,66,1138,0.003655550768598914,
,67,1149,,0.003407346550375223
0.0036232080310583115,67,1155,,
,67,1155,0.003609057515859604,
0.0037116636522114277,68,1172,,
,68,1172,0.0037524790968745947,
0.0036735760513693094,69,1189,,
,69,1189,0.0037602928932756186,
,70,1199,,0.003561533521860838
0.003949415870010853,70,1206,,
,70,1206,0.0036499821580946445,
0.003908713348209858,71,1223,,
